StockCode,Description,PurchaseCount,TotalQuantity,AverageQuantity,TotalRevenue,AverageRevenue,UniqueCustomers,TotalQuantity_Normalized,TotalRevenue_Normalized,PurchaseCount_Normalized,PopularityScore,PopularityRank
15036,ASSORTED COLOURS SILK FAN,648,40077,61.85,28131.29,43.41,303,0.4037040518943311,0.47857356785337124,0.12550921435499515,0.3359,43
15039,SANDALWOOD FAN,186,4119,22.15,2825.95,15.19,127,0.06565761022844788,0.4219382669414488,0.03588748787584869,0.1745,588
15044A,PINK PAPER PARASOL ,196,4891,24.95,12795.73,65.28,117,0.07291529566607126,0.44425140283789066,0.037827352085354024,0.185,497
15044B,BLUE PAPER PARASOL ,149,1623,10.89,4373.45,29.35,98,0.042192347466390896,0.42540169118950083,0.02870999030067895,0.1654,679
15044C,PURPLE PAPER PARASOL,165,857,5.19,2414.55,14.63,100,0.03499106891040707,0.4210175220395757,0.03181377303588749,0.1626,707
15044D,RED PAPER PARASOL,194,1535,7.91,4226.69,21.79,106,0.04136504653567735,0.4250732310003931,0.03743937924345296,0.168,653
15056BL,EDWARDIAN PARASOL BLACK,811,9138,11.27,44813.72,55.26,322,0.11284196671993983,0.5159101317166539,0.1571290009699321,0.262,129
15056N,EDWARDIAN PARASOL NATURAL,886,10805,12.2,53563.46,60.46,348,0.1285136786687976,0.535492724078625,0.1716779825412221,0.2786,101
15056P,EDWARDIAN PARASOL PINK,331,2123,6.41,10781.76,32.57,186,0.046892920936354235,0.43974398278435317,0.06401551891367604,0.1836,510
15058A,BLUE WHITE SPOTS GARDEN PARASOL,113,402,3.56,2378.3,21.05,77,0.030713547052740434,0.4209363917462045,0.021726479146459747,0.1578,755
15058B,PINK WHITE SPOTS GARDEN PARASOL,96,292,3.04,1851.8,19.29,65,0.0296794208893485,0.41975804417489637,0.01842870999030068,0.156,773
15058C,ICE CREAM DESIGN GARDEN PARASOL,73,409,5.6,1939.55,26.57,56,0.03077935508131992,0.41995443543678107,0.01396702230843841,0.1549,784
15059A,ENGLISH ROSE EDWARDIAN PARASOL,1,505,505.0,1515.0,1515.0,1,0.03168186518755288,0.41900425982158856,0.0,0.1502,831
15060B,FAIRY CAKE DESIGN UMBRELLA,280,1128,4.03,4104.42,14.66,175,0.037538779731127195,0.4247995813184485,0.05412221144519884,0.1722,611
16008,SMALL FOLDING SCISSOR(POINTED EDGE),85,3141,36.95,422.96,4.98,64,0.056463288521199584,0.4165601901506078,0.016294859359844812,0.1631,702
16010,FOLDING CAMPING SCISSOR W/KNIF & S,4,32,8.0,3.84,0.96,4,0.027235122684967566,0.415622167293843,0.0005819592628516004,0.1478,855
16011, ANIMAL STICKERS,113,3788,33.52,794.28,7.03,83,0.06254583059133215,0.4173912329239756,0.021726479146459747,0.1672,661
16012,FOOD/DRINK SPUNGE STICKERS,83,2877,34.66,602.97,7.26,67,0.053981385729058945,0.4169630664019111,0.015906886517943745,0.1623,710
16014,SMALL CHINESE STYLE SCISSOR,92,29354,319.07,9512.68,103.4,46,0.3028955532574974,0.43690368395093293,0.017652764306498547,0.2525,153
16015,MEDIUM CHINESE STYLE SCISSOR,65,1572,24.18,711.38,10.94,40,0.04171288897245464,0.4172056963358247,0.012415130940834141,0.1571,762
16016,LARGE CHINESE STYLE SCISSOR,105,2307,21.97,1864.75,17.76,57,0.04862273197330074,0.41978702727280415,0.02017458777885548,0.1629,704
16020C,CLEAR STATIONERY BOX SET ,25,82,3.28,69.7,2.79,22,0.0277051800319639,0.4157695670489168,0.004655674102812803,0.1494,839
16033,MINI HIGHLIGHTER PENS,53,14521,273.98,1472.52,27.78,43,0.16344834069756511,0.4189091863081428,0.01008729388942774,0.1975,398
16043,POP ART PUSH DOWN RUBBER ,14,1158,82.71,111.36,7.95,11,0.037820814139325,0.4158628053391745,0.002521823472356935,0.1521,812
16044,POP-ART FLUORESCENT PENS,2,6192,3096.0,388.8,194.4,2,0.08514618783491586,0.4164837374382889,0.00019398642095053346,0.1673,660
16045,POPART WOODEN PENCILS ASST,73,9300,127.4,428.0,5.86,65,0.11436495252420795,0.4165714700589827,0.01396702230843841,0.1816,527
16046,TEATIME PEN CASE & PENS,50,5317,106.34,654.49,13.09,45,0.07692018426248003,0.41707837213196575,0.009505334626576139,0.1678,655
16047,POP ART PEN CASE & PENS,24,5403,225.12,600.87,25.04,21,0.07772868289931371,0.4169583664400882,0.0044616876818622695,0.1664,669
16048,TEATIME ROUND PENCIL SHARPENER ,70,3413,48.76,498.66,7.12,59,0.05902040048885964,0.4167296125839374,0.01338506304558681,0.163,703
16049,TEATIME GEL PENS ASST,25,3144,125.76,542.88,21.72,22,0.056491491962019365,0.4168285803514649,0.004655674102812803,0.1593,740
16050,TEATIME PENCIL WITH RUBBER,4,122,30.5,30.5,7.62,4,0.028081225909560966,0.415681834428223,0.0005819592628516004,0.1481,852
16051,TEATIME PENCIL W STAMP ASST,3,938,312.67,82.2,27.4,3,0.03575256181254113,0.4157975430121483,0.0003879728419010669,0.1506,827
16052,TEATIME PUSH DOWN RUBBER,22,786,35.73,239.27,10.88,18,0.03432358747767228,0.4161490777757292,0.004073714839961203,0.1515,818
16053,POPART COL BALLPOINT PEN ASST,9,2298,255.33,122.58,13.62,8,0.048538121650841405,0.41588791656377105,0.0015518913676042677,0.1553,780
16054,POPART RECT PENCIL SHARPENER ASST,38,1097,28.87,143.94,3.79,32,0.03724734417598947,0.41593572188974093,0.007177497575169738,0.1535,798
16119,FUNKY GIRL ADDRESS BOOK,7,271,38.71,128.21,18.32,7,0.02948199680361004,0.4159005169376105,0.0011639185257032007,0.1488,845
16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,5,52,10.4,72.5,14.5,5,0.0274231456237661,0.4157758336646806,0.0007759456838021338,0.148,853
16156L,"WRAP, CAROUSEL",36,950,26.39,399.0,11.08,33,0.03586537557582025,0.4165065658242858,0.006789524733268671,0.1531,802
16156N,"WRAP, FRIENDSHIP ON GREEN",55,1450,26.36,609.0,11.07,51,0.04056594904578358,0.41697656200657396,0.010475266731328807,0.156,773
16156S,WRAP PINK FAIRY CAKES ,420,16440,39.14,6465.8,15.39,271,0.18148914167528438,0.4300845317228847,0.08128031037827352,0.231,221
16161C,WRAP SPEED DEMONS ,2,450,225.0,45.0,22.5,2,0.031164802105856915,0.41571428654557147,0.00019398642095053346,0.149,843
16161E,WRAP BOUDOIR ,9,750,83.33,75.0,8.33,8,0.033985146187834915,0.41578142885732694,0.0015518913676042677,0.1504,829
16161G,WRAP BAD HAIR DAY,33,975,29.55,97.5,2.95,31,0.036100404249318416,0.41583178559114353,0.006207565470417071,0.1527,806
16161M,WRAP  PINK FLOCK,40,1025,25.62,428.5,10.71,36,0.03657046159631475,0.416572589097512,0.007565470417070805,0.1536,797
16161P,WRAP ENGLISH ROSE ,441,13173,29.87,5424.9,12.3,289,0.15077559462254395,0.4277549173126764,0.08535402521823472,0.2213,265
16161U,"WRAP,SUKI AND FRIENDS",320,9926,31.02,4042.92,12.63,203,0.12025007050860205,0.42466193957934983,0.06188166828322018,0.2023,366
16162L,THE KING GIFT BAG,18,4339,241.06,366.59,20.37,16,0.06772586255523173,0.4164340297468193,0.003297769156159069,0.1625,708
16162M,THE KING GIFT BAG 25x24x12cm,12,86,7.17,36.12,3.01,10,0.027742784619723605,0.41569441242129185,0.002133850630455868,0.1485,848
16168M,FUNKY MONKEY GIFT BAG MEDIUM,53,1578,29.77,425.16,8.02,42,0.041769295854094196,0.41656511392013656,0.01008729388942774,0.1561,772
16168S,FUNKY MONKEY GIFT BAG SMALL,7,1274,182.0,121.86,17.41,4,0.038911347184356494,0.4158863051482889,0.0011639185257032007,0.152,813
16169A,WRAP CHRISTMAS DECOUPAGE,1,25,25.0,10.5,10.5,1,0.02716931465638808,0.4156370728870527,0.0,0.1476,857
16169C,WRAP BLUE REINDEER,43,1350,31.4,567.0,13.19,42,0.03962583435179092,0.4168825627701163,0.008147429679922406,0.1549,784
16169D,WRAP WINTER FOREST,9,250,27.78,105.0,11.67,9,0.02928457271787158,0.41584857116908236,0.0015518913676042677,0.1489,844
16169E,WRAP 50'S  CHRISTMAS,152,4438,29.2,1839.96,12.1,143,0.06865657610228448,0.41973154534252355,0.029291949563530553,0.1726,607
16169F,WRAP BLIZZARD,34,975,28.68,409.5,12.04,34,0.036100404249318416,0.41653006563340017,0.006401551891367604,0.153,803
16169G,WRAP ROMANTIC DECOUPAGE,1,25,25.0,10.5,10.5,1,0.02716931465638808,0.4156370728870527,0.0,0.1476,857
16169K,WRAP FOLK ART,59,2050,34.75,648.25,10.99,56,0.04620663720973959,0.41706440653112065,0.01125121241513094,0.1582,751
16169M,WRAP DAISY CARPET ,60,2060,34.33,640.95,10.68,56,0.046300648679138856,0.4170480685685935,0.011445198836081475,0.1583,750
16169N,WRAP BLUE RUSSIAN FOLKART,56,2025,36.16,626.25,11.18,52,0.04597160853624142,0.41701516883583334,0.01066925315227934,0.1579,754
16169P,WRAP GREEN RUSSIAN FOLKART ,49,1725,35.2,523.25,10.68,46,0.04315126445426342,0.4167846468988063,0.009311348205625606,0.1564,769
16201A,PASTEL PINK PHOTO ALBUM,9,98,10.89,195.9,21.77,7,0.027855598383002726,0.4160520123737014,0.0015518913676042677,0.1485,848
16201B,PASTEL BLUE PHOTO ALBUM,2,24,12.0,46.8,23.4,2,0.02715991350944815,0.41571831508427676,0.00019398642095053346,0.1477,856
16202A,PASTEL PINK PHOTO ALBUM ,22,336,15.27,168.65,7.67,16,0.030093071354705275,0.41599102477385685,0.004073714839961203,0.1501,832
16202B,PASTEL BLUE PHOTO ALBUM ,22,562,25.55,324.73,14.76,13,0.0322177305631287,0.4163403438411499,0.004073714839961203,0.1509,824
16202C,BEIGE PHOTO ALBUM,10,94,9.4,201.3,20.13,10,0.02781799379524302,0.41606409798981736,0.0017458777885548012,0.1485,848
16202E,BLACK PHOTO ALBUM ,14,80,5.71,145.05,10.36,12,0.027686377738084047,0.4159382061552759,0.002521823472356935,0.1487,846
16206B,RED PURSE WITH PINK HEART,16,96,6.0,116.4,7.28,14,0.027836796089122873,0.41587408524754943,0.002909796314258002,0.1489,844
16207A,PINK STRAWBERRY HANDBAG ,19,55,2.89,162.25,8.54,17,0.027451349064585878,0.41597670108068235,0.0034917555771096023,0.149,843
16207B,PINK HEART RED HANDBAG,13,211,16.23,315.96,24.3,12,0.02891792798721444,0.4163207159053467,0.0023278370514064014,0.1492,841
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,34,357,10.5,232.05,6.82,29,0.030290495440443734,0.41613291885936665,0.006401551891367604,0.1509,824
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,3,8,2.67,5.2,1.73,3,0.027009495158409325,0.4156252110786426,0.0003879728419010669,0.1477,856
16216,LETTER SHAPE PENCIL SHARPENER,82,4025,49.09,340.58,4.15,69,0.06477390241609476,0.4163758173625273,0.01571290009699321,0.1656,677
16218,CARTOON  PENCIL SHARPENERS,70,4525,64.64,375.6,5.37,60,0.0694744758860581,0.41645419482111656,0.01338506304558681,0.1664,669
16219,HOUSE SHAPE PENCIL SHARPENER,67,3158,47.13,368.13,5.49,58,0.05662310801917834,0.41643747638548945,0.012803103782735208,0.162,713
16225,RATTLE SNAKE EGGS,113,1420,12.57,1078.64,9.55,90,0.04028391463758579,0.41802765251633495,0.021726479146459747,0.16,733
16235,RECYCLED PENCIL WITH RABBIT ERASER,168,4955,29.49,1003.65,5.97,124,0.07351696907022656,0.41785981911771686,0.032395732298739086,0.1746,587
16236,KITTY PENCIL ERASERS,148,2397,16.2,497.77,3.36,108,0.04946883519789414,0.4167276206953553,0.02851600387972842,0.1649,684
16237,SLEEPING CAT ERASERS,348,9639,27.7,1940.19,5.58,209,0.11755194133684309,0.41995586780609856,0.06731328806983511,0.2016,372
16238,PARTY TIME PENCIL ERASERS,136,2232,16.41,469.42,3.45,104,0.047917645952806245,0.41666417121074645,0.026188166828322017,0.1636,697
16239,BALLERINA HEART DECORATION.,13,338,26.0,468.4,36.03,13,0.030111873648585127,0.41666188837214674,0.0023278370514064014,0.1497,836
16243B,BROWN COZY SQUARE PHOTO ALBUM,1,205,205.0,399.75,399.75,1,0.02886152110557488,0.4165082443820797,0.0,0.1485,848
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,6,142,23.67,293.0,48.83,6,0.0282692488483595,0.4162693296560832,0.0009699321047526673,0.1485,848
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,8,309,38.62,612.85,76.61,8,0.029839240387327253,0.41698517860324924,0.0013579049466537342,0.1494,839
16245A,PINK MINI STATIONERY SET W CASE,7,11,1.57,13.75,1.96,7,0.027037698599229106,0.4156443466374929,0.0011639185257032007,0.1479,854
16248B,BLUE HOLE PUNCH,12,81,6.75,101.25,8.44,12,0.02769577888502397,0.41584017838011295,0.002133850630455868,0.1486,847
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,20,912,45.6,258.36,12.92,17,0.03550813199210304,0.4161918026667762,0.0036857419980601356,0.1518,815
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,21,493,23.48,207.06,9.86,17,0.03156905142427376,0.41607698931367443,0.0038797284190106693,0.1505,828
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,11,155,14.09,65.1,5.92,8,0.028391463758578546,0.4157592718944476,0.0019398642095053346,0.1487,846
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,77,1025,13.31,346.77,4.5,58,0.03657046159631475,0.4163896710595195,0.014742967992240542,0.1559,774
16258B,DAISY ERASERS IN BAG,14,1014,72.43,219.34,15.67,13,0.036467048979975554,0.41610447289995295,0.002521823472356935,0.1517,816
16259,PIECE OF CAMO STATIONERY SET,59,5339,90.49,751.99,12.75,46,0.07712700949515841,0.417296584645171,0.01125121241513094,0.1686,647
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,25,1205,48.2,297.61,11.9,20,0.038262668045501554,0.41627964719132293,0.004655674102812803,0.1531,802
17003,BROCADE RING PURSE ,398,69343,174.23,14425.6,36.25,215,0.6788380182382251,0.44789917749325253,0.07701260911736178,0.4012,16
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,7,34,4.86,71.4,10.2,6,0.02725392497884742,0.41577337177991625,0.0011639185257032007,0.1481,852
17011A,ORIGAMI VANILLA INCENSE+FLOWER ,6,254,42.33,150.0,25.0,6,0.029322177305631286,0.41594928463671554,0.0009699321047526673,0.1487,846
17011B,ORIGAMI JASMINE INCENSE+FLOWER ,2,19,9.5,11.1,5.55,2,0.02711290777474852,0.4156384157332878,0.00019398642095053346,0.1476,857
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,1,334,334.0,217.1,217.1,1,0.030074269060825422,0.4160994596073419,0.0,0.1487,846
17011D,ORIGAMI ROSE INCENSE+FLOWER,2,207,103.5,129.3,64.65,2,0.028880323399454733,0.41590295644160424,0.00019398642095053346,0.1483,850
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,1,124,124.0,80.6,80.6,1,0.02810002820344082,0.4157939620888546,0.0,0.148,853
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,15,380,25.33,315.15,21.01,15,0.030506721820062047,0.4163189030629293,0.0027158098933074684,0.1498,835
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,35,644,18.4,586.6,16.76,30,0.032988624612202685,0.41692642908046323,0.006595538312318138,0.1522,811
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,48,617,12.85,590.85,12.31,43,0.03273479364482467,0.41693594090796193,0.009117361784675072,0.1529,804
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,56,777,13.88,747.25,13.34,47,0.03423897715521294,0.41728597615991364,0.01066925315227934,0.1541,792
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,51,426,8.35,426.7,8.37,41,0.030939174579298675,0.4165685605588067,0.009699321047526674,0.1524,809
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,12,240,20.0,236.4,19.7,12,0.029190561248472312,0.4161426544945712,0.002133850630455868,0.1492,841
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,47,493,10.49,451.45,9.61,38,0.03156905142427376,0.4166239529660049,0.008923375363724539,0.1524,809
17013B,ORIGAMI JASMINE INCENSE IN TUBE,2,255,127.5,217.6,108.8,2,0.029331578452571214,0.4161005786458712,0.00019398642095053346,0.1485,848
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,3,117,39.0,49.14,16.38,2,0.028034220174861332,0.4157235521845938,0.0003879728419010669,0.148,853
17013D,ORIGAMI ROSE INCENSE IN TUBE,22,1047,47.59,513.89,23.36,18,0.03677728682899314,0.4167636984975386,0.004073714839961203,0.1525,808
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,4,61,15.25,25.05,6.26,4,0.02750775594622544,0.4156696369082541,0.0005819592628516004,0.1479,854
17014A,ORIGAMI VANILLA INCENSE CONES,9,247,27.44,111.81,12.42,9,0.0292563692770518,0.41586381247385085,0.0015518913676042677,0.1489,844
17014C,ORIGAMI LAVENDER INCENSE CONES,1,96,96.0,40.32,40.32,1,0.027836796089122873,0.41570381234493764,0.0,0.1478,855
17014D,ORIGAMI ROSE INCENSE CONES,6,476,79.33,194.28,32.38,5,0.03140923192629501,0.41604838668886657,0.0009699321047526673,0.1495,838
17014E,ORIGAMI OPIUM INCENSE CONES,4,93,23.25,33.3,8.32,4,0.027808592648303092,0.41568810104398685,0.0005819592628516004,0.148,853
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,4,61,15.25,23.7,5.92,4,0.02750775594622544,0.4156666155042251,0.0005819592628516004,0.1479,854
17021,NAMASTE SWAGAT INCENSE,85,3636,42.78,959.04,11.28,45,0.061116856256463285,0.4177599785001366,0.016294859359844812,0.1651,682
17027A,INCENSE BAZAAR CANNABIS,2,228,114.0,84.84,42.42,1,0.029077747485193192,0.4158034515355827,0.00019398642095053346,0.1484,849
17028J,INCENSE BAZAAR PEACH,1,6,6.0,2.52,2.52,1,0.026990692864529472,0.41561921303212573,0.0,0.1475,858
17033,"BROCADE PURSE,SMALL ARCH BUTTON",69,3243,47.0,857.11,12.42,58,0.05742220550907211,0.4175318513055621,0.013191076624636276,0.1627,706
17038,PORCELAIN BUDAH INCENSE HOLDER,30,2524,84.13,225.4,7.51,21,0.05066278085926483,0.41611803564692756,0.00562560620756547,0.1575,758
17039,INLAID WOOD INCENSE HOLDER,30,3641,121.37,813.09,27.1,20,0.06116386199116292,0.4174333311534463,0.00562560620756547,0.1614,719
17061,ASSORTED SHAPED STENCIL FOR HENNA,1,52,52.0,2.08,2.08,1,0.0274231456237661,0.41561822827822,0.0,0.1477,856
17084A,TRANQUILITY MASALA INCENSE,18,442,24.56,92.82,5.16,14,0.0310895929303375,0.41582131139050965,0.003297769156159069,0.1501,832
17084G,MOON INCENSE,2,50,25.0,10.5,5.25,2,0.027404343329886244,0.4156370728870527,0.00019398642095053346,0.1477,856
17084J,LOVE POTION MASALA INCENSE,19,454,23.89,95.34,5.02,17,0.03120240669361662,0.4158269513446971,0.0034917555771096023,0.1502,831
17084N,FAIRY DREAMS INCENSE ,67,2391,35.69,485.86,7.25,42,0.049412428316254586,0.41670096519758837,0.012803103782735208,0.1596,737
17084P,DRAGONS BLOOD INCENSE,26,874,33.62,173.54,6.67,23,0.03515088840838582,0.416001968970673,0.004849660523763337,0.152,813
17084R,ASSORTED INCENSE PACK,66,10625,160.98,1968.45,29.82,29,0.1268214722196108,0.4200191158637722,0.012609117361784675,0.1865,482
17090A,LAVENDER INCENSE 40 CONES IN TIN,26,173,6.65,182.65,7.02,24,0.028560684403497228,0.41602235785267605,0.004849660523763337,0.1498,835
17090D,VANILLA INCENSE 40 CONES IN TIN,30,88,2.93,105.2,3.51,21,0.027761586913603458,0.4158490187844941,0.00562560620756547,0.1497,836
17091A,LAVENDER INCENSE IN TIN,110,2073,18.85,1255.65,11.42,78,0.046422863589357904,0.41842381453646266,0.02114451988360815,0.162,713
17091B,JASMINE TEA INCENSE IN TIN,44,264,6.0,286.8,6.52,35,0.029416188775030553,0.4162554535783204,0.00834141610087294,0.1513,820
17091F,SANDALWOOD INCENSE IN TIN,6,16,2.67,20.0,3.33,6,0.02708470433392874,0.4156583346191086,0.0009699321047526673,0.1479,854
17091J,VANILLA INCENSE IN TIN,166,3931,23.68,2122.19,12.78,108,0.06389019460374165,0.42036319783074827,0.03200775945683802,0.1721,612
17096,ASSORTED LAQUERED INCENSE HOLDERS,35,6157,175.91,1081.65,30.9,25,0.08481714769201842,0.41803438912828106,0.006595538312318138,0.1698,635
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",84,306,3.64,780.3,9.29,68,0.029811036946507472,0.41735994460669756,0.016100872938894277,0.1544,789
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,23,355,15.43,149.1,6.48,17,0.03027169314656388,0.4159472703673629,0.004267701260911736,0.1502,831
17109A,FLOWER FAIRY INCENSE LILY,13,709,54.54,333.61,25.66,12,0.03359969916329792,0.41636021796542944,0.0023278370514064014,0.1508,825
17109B,FLOWER FAIRY INCENSE LAVENDER,16,4541,283.81,892.91,55.81,13,0.06962489423709693,0.41761197446425696,0.002909796314258002,0.1634,699
17109C,FLOWER FAIRY INCENSE ROSE,16,3123,195.19,659.54,41.22,13,0.056294067876280905,0.41708967442111133,0.002909796314258002,0.1588,745
17109D,FLOWER FAIRY INCENSE BOUQUET,38,1252,32.95,583.18,15.35,33,0.0387045219516781,0.4169187748569231,0.007177497575169738,0.1543,790
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,10,84,8.4,56.28,5.63,7,0.027723982325843752,0.4157395320547915,0.0017458777885548012,0.1484,849
17129D,CLEAR COLOUR GLASS GEMS IN BAG,19,518,27.26,344.54,18.13,12,0.03180408009777193,0.4163846801476791,0.0034917555771096023,0.1506,827
17129F,DEEP BLUE GLASS GEMS IN BAG,43,938,21.81,624.8,14.53,19,0.03575256181254113,0.41701192362409845,0.008147429679922406,0.1536,797
17136A,BLUE STONES ON WIRE FOR CANDLE,34,743,21.85,61.78,1.82,28,0.03391933815925543,0.4157518414786133,0.006401551891367604,0.152,813
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,82,1582,19.29,632.4,7.71,64,0.04180690044185391,0.4170289330097432,0.01571290009699321,0.1582,751
17164D,ASS COL SMALL SAND FROG P'WEIGHT,30,1144,38.13,444.48,14.82,26,0.037689198082166024,0.4166083535689071,0.00562560620756547,0.1533,800
17165B,ASS COL LARGE SAND GECKO P'WEIGHT,62,805,12.98,746.43,12.04,44,0.03450220926953088,0.41728414093672567,0.011833171677982542,0.1545,788
17165D,ASS COL LARGE SAND FROG P'WEIGHT,96,710,7.4,676.02,7.04,64,0.03360910031023785,0.4171265579310356,0.01842870999030068,0.1564,769
17174,ASSTD RASTA KEY-CHAINS,7,36,5.14,15.12,2.16,7,0.02727272727272727,0.41564741280306305,0.0011639185257032007,0.148,853
17178,FLAT PALM T-LIGHT HOLDER,25,133,5.32,156.65,6.27,20,0.028184638525900158,0.4159641678491547,0.004655674102812803,0.1496,837
17181,CIRCLE OF FRIENDS CANDLE HOLDER,30,294,9.8,341.7,11.39,26,0.029698223183228355,0.4163783240088329,0.00562560620756547,0.1506,827
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,12,33,2.75,123.75,10.31,9,0.027244523831907494,0.41589053511392954,0.002133850630455868,0.1484,849
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,54,8935,165.46,897.18,16.61,40,0.11093353389113472,0.4176215310532968,0.010281280310378274,0.1796,545
18010,ASSORTED FRAGRANCE BATH CONFETTI,6,56,9.33,23.52,3.92,6,0.027460750211525806,0.4156662126503545,0.0009699321047526673,0.148,853
18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,44,331,7.52,375.35,8.53,22,0.03004606562000564,0.4164536353018519,0.00834141610087294,0.1516,817
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,15,94,6.27,210.9,14.06,12,0.02781799379524302,0.4160855835295791,0.0027158098933074684,0.1489,844
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,12,17,1.42,43.35,3.61,10,0.027094105480868665,0.41571059371842495,0.002133850630455868,0.1483,850
18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,4,7,1.75,17.85,4.46,3,0.0270000940114694,0.4156535227534328,0.0005819592628516004,0.1477,856
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,162,1242,7.67,2721.9,16.8,110,0.038610510482278836,0.4217053950235103,0.031231813773035886,0.1638,695
18098A,PINK PORCELAIN B'FLY OIL BURNER,2,2,1.0,5.9,2.95,2,0.026953088276769767,0.4156267777325835,0.00019398642095053346,0.1476,857
18098B,BLUE PORCELAIN B'FLY OIL BURNER,3,3,1.0,8.85,2.95,3,0.02696248942370969,0.4156333800599062,0.0003879728419010669,0.1477,856
18098C,PORCELAIN BUTTERFLY OIL BURNER,185,1099,5.94,2762.05,14.93,104,0.037266146469869324,0.4217952538174097,0.035693501454898156,0.1649,684
